iteration,params,strategy,train_loss,val_loss,train_accuracy,val_accuracy,training_time,total_training_time
0,"{'num_layers': 3, 'units_per_layer': 15, 'activation': 1, 'learning_rate': 0.11572769949166002, 'batch_size': 64, 'dropout_rate': 0.570402391979106, 'l2_reg_strength': 0.0001459203222690064}",bayesian,2.2198531379699706,2.1209178562164306,14.366666666666667,21.6,15.026321172714233,15.026321172714233
1,"{'num_layers': 1, 'units_per_layer': 79, 'activation': 1, 'learning_rate': 0.00014620708825200177, 'batch_size': 64, 'dropout_rate': 0.35110782263853474, 'l2_reg_strength': 0.0007540784716011744}",bayesian,0.4091843865712484,0.3718441696166992,88.8,89.4,11.304922819137573,26.331243991851807
2,"{'num_layers': 4, 'units_per_layer': 73, 'activation': 1, 'learning_rate': 0.002621557702069281, 'batch_size': 128, 'dropout_rate': 0.5280420909015289, 'l2_reg_strength': 5.35599576155698e-05}",bayesian,1.4261347802480062,1.192188805580139,50.8,59.8,12.618214130401611,38.94945812225342
3,"{'num_layers': 1, 'units_per_layer': 78, 'activation': 3, 'learning_rate': 0.0006895279919885495, 'batch_size': 128, 'dropout_rate': 0.5984584464180895, 'l2_reg_strength': 3.6689298872569237e-07}",bayesian,0.7318759735425313,0.6473699426651001,81.76666666666667,85.6,10.960124015808105,49.90958213806152
4,"{'num_layers': 4, 'units_per_layer': 57, 'activation': 1, 'learning_rate': 0.005877744285701234, 'batch_size': 128, 'dropout_rate': 0.05245161311978133, 'l2_reg_strength': 3.3954664631984806e-07}",bayesian,0.44828728008270263,0.46225202655792236,86.13333333333334,85.8,9.619526147842407,59.52910828590393
5,"{'num_layers': 4, 'units_per_layer': 7, 'activation': 2, 'learning_rate': 0.0028847566782296712, 'batch_size': 16, 'dropout_rate': 0.5669244245231986, 'l2_reg_strength': 1.1988868217694297e-07}",bayesian,2.304273873011271,2.2998287124633787,10.6,9.8,15.336240768432617,74.86534905433655
6,"{'num_layers': 2, 'units_per_layer': 10, 'activation': 2, 'learning_rate': 0.0007683160990066057, 'batch_size': 64, 'dropout_rate': 0.43758833663572055, 'l2_reg_strength': 3.444320341938381e-05}",bayesian,1.469338589032491,1.1789186067581177,49.46666666666667,66.0,11.300499677658081,86.16584873199463
7,"{'num_layers': 2, 'units_per_layer': 41, 'activation': 2, 'learning_rate': 0.0006050222097222608, 'batch_size': 32, 'dropout_rate': 0.5451626884464001, 'l2_reg_strength': 7.162625188901167e-06}",bayesian,0.6814081643422445,0.48543589806556703,79.7,85.6,12.519612073898315,98.68546080589294
8,"{'num_layers': 4, 'units_per_layer': 8, 'activation': 1, 'learning_rate': 0.16006797720196492, 'batch_size': 32, 'dropout_rate': 0.3317406279806756, 'l2_reg_strength': 0.0007005465135443347}",bayesian,2.045457114537557,1.7937908916473388,20.266666666666666,38.6,12.987475872039795,111.67293667793274
9,"{'num_layers': 4, 'units_per_layer': 16, 'activation': 2, 'learning_rate': 0.00024212036337853255, 'batch_size': 256, 'dropout_rate': 0.4718367139224089, 'l2_reg_strength': 2.5593054238937813e-07}",bayesian,1.8479463701248169,1.6329357213973998,32.9,52.0,9.445514678955078,121.11845135688782
10,"{'num_layers': 1, 'units_per_layer': 40, 'activation': 1, 'learning_rate': 0.0025956947269543365, 'batch_size': 32, 'dropout_rate': 0.5120738539935611, 'l2_reg_strength': 1.2987603554559517e-05}",bayesian,0.7431060457229615,0.4959598546028137,74.46666666666667,86.6,11.71141242980957,132.8298637866974
