param_index,params,strategy,train_loss,val_loss,train_accuracy,val_accuracy,training_time,total_training_time
0,"[{'num_layers': 1, 'units_per_layer': 17, 'activation': 'relu', 'learning_rate': 0.06461646328851295, 'batch_size': 16, 'dropout_rate': 0.3156694004111965, 'l2_reg_strength': 0.0018350025420630484}]",random,1.393027086575826,1.113337975502014,48.93333333333333,68.4,17.22994112968445,17.22994112968445
1,"[{'num_layers': 3, 'units_per_layer': 61, 'activation': 'relu', 'learning_rate': 0.000632694496955584, 'batch_size': 128, 'dropout_rate': 0.394954257849794, 'l2_reg_strength': 0.0003199189207677881}]",random,0.8168338619867961,0.6068768320083618,72.93333333333334,82.2,11.36153769493103,28.59147882461548
2,"[{'num_layers': 4, 'units_per_layer': 36, 'activation': 'relu', 'learning_rate': 0.004062397172886757, 'batch_size': 64, 'dropout_rate': 0.5979199095121279, 'l2_reg_strength': 2.8435425594280967e-06}]",random,2.167234162012736,2.016790195465088,18.266666666666666,22.4,11.14335036277771,39.73482918739319
3,"[{'num_layers': 1, 'units_per_layer': 22, 'activation': 'tanh', 'learning_rate': 0.00038047470365937366, 'batch_size': 128, 'dropout_rate': 0.17125696017463377, 'l2_reg_strength': 4.0958593182735834e-07}]",random,0.4800173850059509,0.5486652517318725,90.26666666666667,87.6,10.446460962295532,50.18129014968872
4,"[{'num_layers': 4, 'units_per_layer': 59, 'activation': 'sigmoid', 'learning_rate': 0.22810741500703324, 'batch_size': 64, 'dropout_rate': 0.3155716660481571, 'l2_reg_strength': 3.5278638768149925e-07}]",random,1.4400461657842,1.397165454864502,43.1,45.8,12.64072060585022,62.82201075553894
5,"[{'num_layers': 3, 'units_per_layer': 105, 'activation': 'relu', 'learning_rate': 0.009459852993510598, 'batch_size': 64, 'dropout_rate': 0.21922948163798556, 'l2_reg_strength': 2.9916628804446703e-05}]",random,0.3207174501419067,0.31147175121307374,89.96666666666667,91.0,12.897745847702026,75.71975660324097
6,"[{'num_layers': 2, 'units_per_layer': 120, 'activation': 'tanh', 'learning_rate': 0.16004459514186475, 'batch_size': 256, 'dropout_rate': 0.5043191726091927, 'l2_reg_strength': 1.3048390009288517e-06}]",random,0.3710057112375895,0.38301921892166135,90.1,89.2,11.340863227844238,87.0606198310852
7,"[{'num_layers': 4, 'units_per_layer': 111, 'activation': 'relu', 'learning_rate': 0.004155509812814816, 'batch_size': 128, 'dropout_rate': 0.5358107642199598, 'l2_reg_strength': 2.0433718883225424e-07}]",random,1.3870251636505126,1.1375291538238526,46.8,57.2,10.862534046173096,97.9231538772583
8,"[{'num_layers': 2, 'units_per_layer': 69, 'activation': 'sigmoid', 'learning_rate': 0.0035148988438186935, 'batch_size': 128, 'dropout_rate': 0.5646542460767544, 'l2_reg_strength': 0.0094273798969479}]",random,1.3481531991958617,1.1846822576522826,56.333333333333336,69.6,10.71354866027832,108.63670253753662
9,"[{'num_layers': 3, 'units_per_layer': 66, 'activation': 'sigmoid', 'learning_rate': 0.0005317801850782162, 'batch_size': 64, 'dropout_rate': 0.2014420189132573, 'l2_reg_strength': 4.05661815512982e-07}]",random,0.9895413098335266,1.0089178133010863,68.43333333333334,64.8,12.059042692184448,120.69574522972107
10,"[{'num_layers': 4, 'units_per_layer': 93, 'activation': 'relu', 'learning_rate': 0.016981323108507324, 'batch_size': 32, 'dropout_rate': 0.5433754909196811, 'l2_reg_strength': 1.9247253532111034e-07}]",random,1.428361935933431,1.2251464233398437,40.0,52.6,14.837664604187012,135.53340983390808
11,"[{'num_layers': 4, 'units_per_layer': 99, 'activation': 'relu', 'learning_rate': 0.00010493708089318844, 'batch_size': 256, 'dropout_rate': 0.21679385047077876, 'l2_reg_strength': 0.0001713219034622885}]",random,0.5316327250798544,0.5311558632850647,83.46666666666667,83.0,11.257918357849121,146.7913281917572
12,"[{'num_layers': 1, 'units_per_layer': 33, 'activation': 'tanh', 'learning_rate': 0.0001220663789966692, 'batch_size': 64, 'dropout_rate': 0.5391803749193058, 'l2_reg_strength': 3.660851248040112e-07}]",random,0.46353069591522217,0.4415317130088806,88.03333333333333,88.6,11.143166780471802,157.934494972229
13,"[{'num_layers': 4, 'units_per_layer': 99, 'activation': 'relu', 'learning_rate': 0.008358985971120317, 'batch_size': 16, 'dropout_rate': 0.46092126621526885, 'l2_reg_strength': 0.0007104358541389512}]",random,0.9334230962991714,0.7636621294021606,67.93333333333334,76.6,19.860159635543823,177.79465460777283
14,"[{'num_layers': 3, 'units_per_layer': 62, 'activation': 'relu', 'learning_rate': 0.000953881630367071, 'batch_size': 128, 'dropout_rate': 0.4683788620629714, 'l2_reg_strength': 7.373013470081505e-07}]",random,1.0375333841641743,0.7429587731361389,63.46666666666667,81.2,11.374658346176147,189.16931295394897
15,"[{'num_layers': 4, 'units_per_layer': 116, 'activation': 'sigmoid', 'learning_rate': 0.000257908820717466, 'batch_size': 16, 'dropout_rate': 0.1617546488200836, 'l2_reg_strength': 0.0005748503573929708}]",random,0.5069880754947662,0.6064508118629456,84.6,80.8,18.605764627456665,207.77507758140564
16,"[{'num_layers': 1, 'units_per_layer': 22, 'activation': 'relu', 'learning_rate': 0.05356352016311625, 'batch_size': 64, 'dropout_rate': 0.3149844049653242, 'l2_reg_strength': 0.002054448767821488}]",random,1.1588045279184978,0.9002251596450805,58.46666666666667,74.2,11.375901937484741,219.15097951889038
17,"[{'num_layers': 3, 'units_per_layer': 116, 'activation': 'sigmoid', 'learning_rate': 0.03336227083912144, 'batch_size': 256, 'dropout_rate': 0.174398352054346, 'l2_reg_strength': 0.0005350415535264931}]",random,1.2893486312230429,1.260993511199951,62.2,61.8,10.660517692565918,229.8114972114563
18,"[{'num_layers': 3, 'units_per_layer': 17, 'activation': 'tanh', 'learning_rate': 0.0029860064669720685, 'batch_size': 16, 'dropout_rate': 0.16046881010813294, 'l2_reg_strength': 0.004780455072941796}]",random,0.6270375207265219,0.7028255624771118,81.03333333333333,76.8,16.29377508163452,246.10527229309082
19,"[{'num_layers': 1, 'units_per_layer': 31, 'activation': 'relu', 'learning_rate': 0.024016366437283557, 'batch_size': 32, 'dropout_rate': 0.4811824509814278, 'l2_reg_strength': 5.895867193394991e-06}]",random,0.8705401178995769,0.5859087891578675,69.2,84.8,11.93306851387024,258.03834080696106
