generation,param_index,params,strategy,train_loss,val_loss,train_accuracy,val_accuracy,training_time,total_training_time
0,0,"{'num_layers': 1, 'units_per_layer': 91, 'activation': 'sigmoid', 'learning_rate': 0.0019807535267784074, 'batch_size': 64, 'dropout_rate': 0.2591201280193479, 'l2_reg_strength': 1.0382475709292338e-05}",genetic,0.3625343677202861,0.4030790944099426,90.4,89.8,10.717744588851929,10.717744588851929
0,1,"{'num_layers': 4, 'units_per_layer': 13, 'activation': 'tanh', 'learning_rate': 0.0007350102685901892, 'batch_size': 64, 'dropout_rate': 0.34637802332932155, 'l2_reg_strength': 2.2147061640714983e-05}",genetic,1.5151630385716757,1.2461043529510498,45.333333333333336,63.4,9.423748254776001,20.14149284362793
0,2,"{'num_layers': 3, 'units_per_layer': 9, 'activation': 'relu', 'learning_rate': 0.0014351668588180946, 'batch_size': 64, 'dropout_rate': 0.48909017384431996, 'l2_reg_strength': 8.310502926597823e-05}",genetic,2.183192231496175,2.116249677658081,16.833333333333332,24.8,10.078371286392212,30.21986413002014
0,3,"{'num_layers': 4, 'units_per_layer': 121, 'activation': 'tanh', 'learning_rate': 0.11239595392626153, 'batch_size': 256, 'dropout_rate': 0.48398788193275316, 'l2_reg_strength': 0.00043503412014340206}",genetic,0.5368585136731465,0.4846063103675842,83.66666666666667,86.6,9.928410768508911,40.14827489852905
0,4,"{'num_layers': 4, 'units_per_layer': 40, 'activation': 'tanh', 'learning_rate': 0.008857042351974492, 'batch_size': 16, 'dropout_rate': 0.5354774095218182, 'l2_reg_strength': 0.0007292809928549881}",genetic,1.4881114403406779,1.3850078086853028,39.266666666666666,47.0,14.563449621200562,54.711724519729614
0,5,"{'num_layers': 1, 'units_per_layer': 3, 'activation': 'sigmoid', 'learning_rate': 0.00024070292026269553, 'batch_size': 128, 'dropout_rate': 0.1514404531332778, 'l2_reg_strength': 0.00017608576807803393}",genetic,1.9775699869791667,1.9646968450546265,42.266666666666666,52.2,8.747191429138184,63.4589159488678
0,6,"{'num_layers': 4, 'units_per_layer': 125, 'activation': 'tanh', 'learning_rate': 0.0019193841544112194, 'batch_size': 32, 'dropout_rate': 0.1050031106749979, 'l2_reg_strength': 2.2510829119320756e-05}",genetic,0.19304025294383367,0.2910321569442749,93.8,90.8,12.708630084991455,76.16754603385925
0,7,"{'num_layers': 4, 'units_per_layer': 55, 'activation': 'tanh', 'learning_rate': 0.09562738647160046, 'batch_size': 128, 'dropout_rate': 0.5171761455258748, 'l2_reg_strength': 1.6703020101833574e-07}",genetic,1.001235810915629,0.8285504851341248,65.56666666666666,75.4,9.759431838989258,85.92697787284851
0,8,"{'num_layers': 2, 'units_per_layer': 123, 'activation': 'tanh', 'learning_rate': 0.00010277037005376712, 'batch_size': 32, 'dropout_rate': 0.1701645396612083, 'l2_reg_strength': 7.605387585909699e-06}",genetic,0.15774235219756763,0.3214666268825531,95.03333333333333,90.8,12.10599660873413,98.03297448158264
0,9,"{'num_layers': 4, 'units_per_layer': 127, 'activation': 'tanh', 'learning_rate': 0.13195391744220156, 'batch_size': 256, 'dropout_rate': 0.3767297385512918, 'l2_reg_strength': 0.0012698299527662362}",genetic,0.3753329400221507,0.41246253085136414,88.76666666666667,87.2,10.089316844940186,108.12229132652283
0,10,"{'num_layers': 4, 'units_per_layer': 38, 'activation': 'relu', 'learning_rate': 0.0020084340001491987, 'batch_size': 128, 'dropout_rate': 0.5270560194030438, 'l2_reg_strength': 2.021264639696055e-07}",genetic,1.9911518573760987,1.8277640590667725,25.8,37.0,8.611319541931152,116.73361086845398
0,11,"{'num_layers': 1, 'units_per_layer': 17, 'activation': 'relu', 'learning_rate': 0.01180064835177144, 'batch_size': 128, 'dropout_rate': 0.051394659091371274, 'l2_reg_strength': 2.1051472081782895e-05}",genetic,0.49453221456209817,0.5330435762405396,86.3,85.8,9.549709796905518,126.2833206653595
0,12,"{'num_layers': 2, 'units_per_layer': 124, 'activation': 'relu', 'learning_rate': 0.00047183362724419095, 'batch_size': 32, 'dropout_rate': 0.23943645796880558, 'l2_reg_strength': 0.00093372564124385}",genetic,0.2402077897787094,0.2935646803379059,92.56666666666666,91.2,12.390004634857178,138.67332530021667
0,13,"{'num_layers': 4, 'units_per_layer': 6, 'activation': 'tanh', 'learning_rate': 0.002585302760862904, 'batch_size': 64, 'dropout_rate': 0.28974638712895756, 'l2_reg_strength': 0.007572450425879253}",genetic,1.7056242853800456,1.5455821056365966,32.333333333333336,40.8,10.213941812515259,148.88726711273193
0,14,"{'num_layers': 4, 'units_per_layer': 124, 'activation': 'tanh', 'learning_rate': 0.12504943603675434, 'batch_size': 256, 'dropout_rate': 0.18706423950129303, 'l2_reg_strength': 8.927331620301559e-05}",genetic,0.24369206114610037,0.33366663789749146,93.4,90.0,8.743710994720459,157.6309781074524
0,15,"{'num_layers': 3, 'units_per_layer': 69, 'activation': 'tanh', 'learning_rate': 0.00030783814189356325, 'batch_size': 64, 'dropout_rate': 0.19670550823340205, 'l2_reg_strength': 3.3648625158127416e-07}",genetic,0.24341803793112438,0.3499185280799866,92.6,89.6,10.60717487335205,168.23815298080444
0,16,"{'num_layers': 2, 'units_per_layer': 66, 'activation': 'tanh', 'learning_rate': 0.05116275397520826, 'batch_size': 128, 'dropout_rate': 0.4168215548976539, 'l2_reg_strength': 1.864655399572503e-07}",genetic,0.3796899646917979,0.4028986673355103,90.13333333333334,87.8,9.761838436126709,177.99999141693115
