param_index,params,strategy,train_loss,val_loss,train_accuracy,val_accuracy,training_time,total_training_time
0,"[{'num_layers': 4, 'units_per_layer': 30, 'activation': 'tanh', 'learning_rate': 0.11172165786355895, 'batch_size': 16, 'dropout_rate': 0.3458303681215996, 'l2_reg_strength': 4.75485933465576e-06}]",random,0.8692946097056071,0.7096119766235351,70.96666666666667,79.4,16.55074954032898,16.55074954032898
1,"[{'num_layers': 3, 'units_per_layer': 43, 'activation': 'relu', 'learning_rate': 0.15261334888144287, 'batch_size': 64, 'dropout_rate': 0.4414609529864207, 'l2_reg_strength': 0.001996133226964538}]",random,1.2166726760864257,0.8625087165832519,54.833333333333336,76.0,10.09166145324707,26.64241099357605
2,"[{'num_layers': 2, 'units_per_layer': 62, 'activation': 'tanh', 'learning_rate': 0.00030754506436042687, 'batch_size': 256, 'dropout_rate': 0.527364003141262, 'l2_reg_strength': 0.007248177315296682}]",random,0.6145203641255697,0.5011482491493225,83.56666666666666,88.2,8.658260822296143,35.30067181587219
3,"[{'num_layers': 1, 'units_per_layer': 93, 'activation': 'sigmoid', 'learning_rate': 0.08083465514397899, 'batch_size': 16, 'dropout_rate': 0.15186267370391043, 'l2_reg_strength': 0.00563442713375546}]",random,0.20546270430088043,0.3058159590959549,94.16666666666667,91.2,11.76767349243164,47.06834530830383
4,"[{'num_layers': 1, 'units_per_layer': 82, 'activation': 'sigmoid', 'learning_rate': 0.04260501648685568, 'batch_size': 64, 'dropout_rate': 0.572758664371679, 'l2_reg_strength': 1.7952072945252855e-05}]",random,0.5441407294273376,0.503793203830719,85.96666666666667,87.8,10.520784854888916,57.58913016319275
5,"[{'num_layers': 1, 'units_per_layer': 53, 'activation': 'relu', 'learning_rate': 0.041984418228021944, 'batch_size': 64, 'dropout_rate': 0.33377850450516816, 'l2_reg_strength': 3.5842859214295624e-06}]",random,0.41569082005818686,0.39047777676582335,87.53333333333333,89.6,9.821821689605713,67.41095185279846
6,"[{'num_layers': 2, 'units_per_layer': 125, 'activation': 'sigmoid', 'learning_rate': 0.2752894647153311, 'batch_size': 64, 'dropout_rate': 0.22735808437819688, 'l2_reg_strength': 0.009591773544780212}]",random,0.3396149094502131,0.3904956021308899,91.1,88.8,9.948771953582764,77.35972380638123
7,"[{'num_layers': 3, 'units_per_layer': 93, 'activation': 'sigmoid', 'learning_rate': 0.0001628052516600155, 'batch_size': 32, 'dropout_rate': 0.454080038490244, 'l2_reg_strength': 0.0028621822691283693}]",random,0.8450284473101298,0.7569911651611329,71.43333333333334,79.0,10.68957805633545,88.04930186271667
8,"[{'num_layers': 4, 'units_per_layer': 111, 'activation': 'sigmoid', 'learning_rate': 0.0006674251924089411, 'batch_size': 128, 'dropout_rate': 0.09880255518319501, 'l2_reg_strength': 2.610713102486262e-06}]",random,1.116000826994578,1.1726187543869018,61.3,59.6,10.048572301864624,98.0978741645813
9,"[{'num_layers': 4, 'units_per_layer': 83, 'activation': 'relu', 'learning_rate': 0.08417501900087124, 'batch_size': 64, 'dropout_rate': 0.06997704133089697, 'l2_reg_strength': 2.7988417275515125e-06}]",random,0.2784162309169769,0.38530812788009644,91.06666666666666,88.0,10.586651802062988,108.68452596664429
10,"[{'num_layers': 2, 'units_per_layer': 22, 'activation': 'sigmoid', 'learning_rate': 0.02071957747821962, 'batch_size': 128, 'dropout_rate': 0.5186217143473301, 'l2_reg_strength': 7.050730260304013e-05}]",random,2.025683240890503,1.9408008470535278,27.466666666666665,47.6,8.238137006759644,116.92266297340393
11,"[{'num_layers': 3, 'units_per_layer': 29, 'activation': 'sigmoid', 'learning_rate': 0.005375844896462516, 'batch_size': 64, 'dropout_rate': 0.2141363677275836, 'l2_reg_strength': 1.1514249427154196e-07}]",random,1.6177192220687866,1.594146255493164,35.96666666666667,40.8,9.846142053604126,126.76880502700806
