iteration,params,strategy,train_loss,val_loss,train_accuracy,val_accuracy,training_time,total_training_time
120,"{'num_layers': 2, 'units_per_layer': 84, 'activation': 2, 'learning_rate': 0.16214139424064092, 'batch_size': 64, 'dropout_rate': 0.5004238946435828, 'l2_reg_strength': 1.0163994089299548e-06}",bayesian,0.3914978760878245,0.3504889345169067,87.76666666666667,88.6,10.785237550735474,1532.2109818458557
121,"{'num_layers': 1, 'units_per_layer': 52, 'activation': 2, 'learning_rate': 0.00158453552937215, 'batch_size': 32, 'dropout_rate': 0.29859323819960143, 'l2_reg_strength': 5.219679660577674e-06}",bayesian,0.23714228169123333,0.34327789282798765,93.43333333333334,90.2,11.986870288848877,1544.1978521347046
122,"{'num_layers': 1, 'units_per_layer': 79, 'activation': 2, 'learning_rate': 0.0032122863849633537, 'batch_size': 32, 'dropout_rate': 0.2668514070256644, 'l2_reg_strength': 1.1749385254555829e-06}",bayesian,0.20115407915910086,0.35073666405677795,94.03333333333333,89.6,12.197998523712158,1556.3958506584167
123,"{'num_layers': 1, 'units_per_layer': 65, 'activation': 2, 'learning_rate': 0.0002860177654755511, 'batch_size': 32, 'dropout_rate': 0.33194484807879576, 'l2_reg_strength': 0.0001553489036527093}",bayesian,0.23939254168669383,0.3346560246944427,92.63333333333334,89.0,12.2377028465271,1568.6335535049438
124,"{'num_layers': 2, 'units_per_layer': 101, 'activation': 1, 'learning_rate': 0.1891292629682508, 'batch_size': 64, 'dropout_rate': 0.14775141669119154, 'l2_reg_strength': 6.0722507327055846e-05}",bayesian,0.24927288401126863,0.2964907343387604,92.5,90.4,11.44911003112793,1580.0826635360718
125,"{'num_layers': 1, 'units_per_layer': 51, 'activation': 1, 'learning_rate': 0.00115899602328863, 'batch_size': 32, 'dropout_rate': 0.39828361185721756, 'l2_reg_strength': 2.772035131237062e-06}",bayesian,0.4677002389431,0.3732001304626465,85.36666666666666,89.2,10.964335203170776,1591.0469987392426
126,"{'num_layers': 3, 'units_per_layer': 63, 'activation': 1, 'learning_rate': 0.0009128699579035012, 'batch_size': 256, 'dropout_rate': 0.28331591028205855, 'l2_reg_strength': 0.00015023410590675817}",bayesian,0.6784611827532451,0.555848822593689,77.9,83.0,9.78292202949524,1600.8299207687378
127,"{'num_layers': 2, 'units_per_layer': 75, 'activation': 2, 'learning_rate': 0.001159796997810395, 'batch_size': 32, 'dropout_rate': 0.11799018996332923, 'l2_reg_strength': 5.231124202240795e-06}",bayesian,0.15887810707092284,0.3010645592212677,94.93333333333334,91.0,12.51304006576538,1613.3429608345032
128,"{'num_layers': 3, 'units_per_layer': 58, 'activation': 1, 'learning_rate': 0.0006342120454700951, 'batch_size': 256, 'dropout_rate': 0.3617432002058353, 'l2_reg_strength': 2.5982462986833764e-06}",bayesian,1.0086876799265543,0.7676844391822815,65.7,80.4,10.267490148544312,1623.6104509830475
129,"{'num_layers': 4, 'units_per_layer': 57, 'activation': 1, 'learning_rate': 0.019990757983243134, 'batch_size': 128, 'dropout_rate': 0.14571744978662216, 'l2_reg_strength': 9.12224402798076e-06}",bayesian,0.5434933021863302,0.48861715030670166,83.26666666666667,84.8,9.658411264419556,1633.268862247467
130,"{'num_layers': 1, 'units_per_layer': 81, 'activation': 2, 'learning_rate': 0.001037440059418888, 'batch_size': 32, 'dropout_rate': 0.4338077565593451, 'l2_reg_strength': 4.0079616793451295e-05}",bayesian,0.2844063210487366,0.34090739941596987,91.53333333333333,91.0,11.70024561882019,1644.9691078662872
131,"{'num_layers': 2, 'units_per_layer': 50, 'activation': 2, 'learning_rate': 0.029707674736578912, 'batch_size': 256, 'dropout_rate': 0.41320952318213305, 'l2_reg_strength': 0.004527192777509453}",bayesian,0.5605096492767334,0.5112442178726196,86.23333333333333,86.8,10.057879209518433,1655.0269870758057
132,"{'num_layers': 1, 'units_per_layer': 67, 'activation': 1, 'learning_rate': 0.07756878477005759, 'batch_size': 32, 'dropout_rate': 0.2725737314999923, 'l2_reg_strength': 6.782529746628682e-07}",bayesian,0.3227973783016205,0.39649218559265137,89.53333333333333,88.8,12.28041386604309,1667.3074009418488
133,"{'num_layers': 1, 'units_per_layer': 109, 'activation': 3, 'learning_rate': 0.00027305380948323184, 'batch_size': 16, 'dropout_rate': 0.2028862640876819, 'l2_reg_strength': 1.9737514334589114e-06}",bayesian,0.20861541025837263,0.3210110878944397,94.46666666666667,90.0,14.753390312194824,1682.0607912540436
134,"{'num_layers': 2, 'units_per_layer': 77, 'activation': 2, 'learning_rate': 0.0009561423649942015, 'batch_size': 32, 'dropout_rate': 0.47118722870538354, 'l2_reg_strength': 2.685800453756094e-06}",bayesian,0.3809813022613525,0.39470560717582703,88.43333333333334,89.4,12.407459020614624,1694.4682502746582
135,"{'num_layers': 2, 'units_per_layer': 61, 'activation': 1, 'learning_rate': 0.025981098847209182, 'batch_size': 256, 'dropout_rate': 0.4671505685743584, 'l2_reg_strength': 0.0010172485363362134}",bayesian,0.8872045501073201,0.6161811928749085,71.16666666666667,83.0,8.968077898025513,1703.4363281726837
136,"{'num_layers': 1, 'units_per_layer': 61, 'activation': 3, 'learning_rate': 0.018631209989490093, 'batch_size': 32, 'dropout_rate': 0.34399718678231883, 'l2_reg_strength': 0.0005495272913272008}",bayesian,0.36381741694609326,0.39298369216918944,90.13333333333334,90.6,11.783319473266602,1715.2196476459503
137,"{'num_layers': 3, 'units_per_layer': 56, 'activation': 2, 'learning_rate': 0.004612877062282218, 'batch_size': 256, 'dropout_rate': 0.27320203073996113, 'l2_reg_strength': 0.0008802602562999863}",bayesian,0.4588212028344472,0.47291865253448484,88.8,87.8,10.040560245513916,1725.2602078914642
138,"{'num_layers': 1, 'units_per_layer': 122, 'activation': 1, 'learning_rate': 0.00010603118386417434, 'batch_size': 32, 'dropout_rate': 0.19009210489469497, 'l2_reg_strength': 7.99872429835964e-05}",bayesian,0.2501346796751022,0.3152896146774292,92.13333333333334,90.8,12.917813539505005,1738.1780214309692
139,"{'num_layers': 3, 'units_per_layer': 79, 'activation': 1, 'learning_rate': 0.0020456019655351186, 'batch_size': 64, 'dropout_rate': 0.1775011350114487, 'l2_reg_strength': 2.0244138731439373e-05}",bayesian,0.29982401450475055,0.31713544368743896,90.66666666666667,90.6,11.388633012771606,1749.5666544437408
140,"{'num_layers': 1, 'units_per_layer': 108, 'activation': 2, 'learning_rate': 0.008168790900706066, 'batch_size': 32, 'dropout_rate': 0.5392585399951932, 'l2_reg_strength': 0.00022023950447623038}",bayesian,0.3105193478266398,0.39316506290435793,90.26666666666667,88.2,12.102585554122925,1761.6692399978638
141,"{'num_layers': 2, 'units_per_layer': 82, 'activation': 2, 'learning_rate': 0.031985651257485766, 'batch_size': 64, 'dropout_rate': 0.4803233402790892, 'l2_reg_strength': 0.000115913894163434}",bayesian,0.382663667122523,0.349225790977478,89.23333333333333,88.8,10.183680534362793,1771.8529205322266
142,"{'num_layers': 2, 'units_per_layer': 101, 'activation': 1, 'learning_rate': 0.0011188473417847592, 'batch_size': 32, 'dropout_rate': 0.22093173973802072, 'l2_reg_strength': 8.753702516950446e-05}",bayesian,0.2443925552368164,0.30602410769462585,92.8,90.4,12.700117111206055,1784.5530376434326
143,"{'num_layers': 1, 'units_per_layer': 54, 'activation': 2, 'learning_rate': 0.0013665287812926678, 'batch_size': 32, 'dropout_rate': 0.07067404520562288, 'l2_reg_strength': 2.5639076999925704e-06}",bayesian,0.16399467551708222,0.3287802493572235,95.76666666666667,90.6,12.879795789718628,1797.4328334331512
144,"{'num_layers': 1, 'units_per_layer': 79, 'activation': 1, 'learning_rate': 0.015013410578096244, 'batch_size': 32, 'dropout_rate': 0.05549461186775933, 'l2_reg_strength': 0.001269266447317926}",bayesian,0.20956228725115458,0.32604279232025146,94.0,89.4,12.858350276947021,1810.2911837100983
145,"{'num_layers': 1, 'units_per_layer': 109, 'activation': 2, 'learning_rate': 0.07926418992820543, 'batch_size': 16, 'dropout_rate': 0.337860650015366, 'l2_reg_strength': 0.0034715694553317067}",bayesian,0.2368026328186194,0.35663561820983886,93.06666666666666,89.4,14.512478351593018,1824.8036620616913
146,"{'num_layers': 3, 'units_per_layer': 63, 'activation': 2, 'learning_rate': 0.0053518925858128535, 'batch_size': 256, 'dropout_rate': 0.26882811013734126, 'l2_reg_strength': 2.874548502187474e-05}",bayesian,0.42993621532122295,0.4817418122291565,89.13333333333334,86.2,10.274011611938477,1835.0776736736298
147,"{'num_layers': 2, 'units_per_layer': 83, 'activation': 1, 'learning_rate': 0.05098027114077397, 'batch_size': 64, 'dropout_rate': 0.08753989636643175, 'l2_reg_strength': 0.003932508491604981}",bayesian,0.22091712443033854,0.3136381607055664,93.43333333333334,89.8,11.282253980636597,1846.3599276542664
