param_index,params,strategy,train_loss,val_loss,train_accuracy,val_accuracy,training_time,total_training_time
0,"[{'num_layers': 2, 'units_per_layer': 20, 'activation': 'sigmoid', 'learning_rate': 0.023270553147617893, 'batch_size': 32, 'dropout_rate': 0.5339275465519897, 'l2_reg_strength': 0.00010350702887318447}]",random,1.6916816873550415,1.4950780611038208,37.46666666666667,61.6,15.033622980117798,15.033622980117798
1,"[{'num_layers': 3, 'units_per_layer': 17, 'activation': 'relu', 'learning_rate': 0.01626696724901744, 'batch_size': 64, 'dropout_rate': 0.5798931656157149, 'l2_reg_strength': 0.00012547531908878502}]",random,2.1840252017974855,2.01376362991333,14.933333333333334,31.2,10.161117553710938,25.194740533828735
2,"[{'num_layers': 4, 'units_per_layer': 66, 'activation': 'sigmoid', 'learning_rate': 0.054307606090745725, 'batch_size': 256, 'dropout_rate': 0.35432878082316527, 'l2_reg_strength': 0.0004300769413823904}]",random,2.2570917924245197,2.219865119934082,16.266666666666666,25.6,10.643143892288208,35.83788442611694
3,"[{'num_layers': 3, 'units_per_layer': 120, 'activation': 'sigmoid', 'learning_rate': 0.00012725192621906533, 'batch_size': 64, 'dropout_rate': 0.06961473147590176, 'l2_reg_strength': 8.013351158461121e-07}]",random,0.42716347829500834,0.5675829706192017,88.63333333333334,82.8,11.989171028137207,47.82705545425415
4,"[{'num_layers': 4, 'units_per_layer': 113, 'activation': 'relu', 'learning_rate': 0.0045196023954169155, 'batch_size': 64, 'dropout_rate': 0.3261147328997915, 'l2_reg_strength': 5.407646212570618e-06}]",random,0.46316915114720664,0.42983479738235475,85.76666666666667,87.6,12.331180572509766,60.158236026763916
5,"[{'num_layers': 4, 'units_per_layer': 92, 'activation': 'relu', 'learning_rate': 0.003052185215850589, 'batch_size': 32, 'dropout_rate': 0.578021045955737, 'l2_reg_strength': 0.00010954566307737317}]",random,1.530286249478658,1.2810160312652588,43.43333333333333,54.4,14.27434229850769,74.4325783252716
6,"[{'num_layers': 1, 'units_per_layer': 60, 'activation': 'tanh', 'learning_rate': 0.00018191083853651483, 'batch_size': 32, 'dropout_rate': 0.47320054691877467, 'l2_reg_strength': 8.108325090384897e-07}]",random,0.32821313953399656,0.36955471777915955,90.33333333333333,88.6,11.706855535507202,86.13943386077881
7,"[{'num_layers': 1, 'units_per_layer': 67, 'activation': 'relu', 'learning_rate': 0.007220147775328813, 'batch_size': 32, 'dropout_rate': 0.06118441722088845, 'l2_reg_strength': 2.266621694387033e-07}]",random,0.22369061611096064,0.35533782362937927,93.13333333333334,89.4,11.88140058517456,98.02083444595337
8,"[{'num_layers': 4, 'units_per_layer': 118, 'activation': 'relu', 'learning_rate': 0.0038424251890047056, 'batch_size': 16, 'dropout_rate': 0.1812921622950508, 'l2_reg_strength': 8.56187247817466e-07}]",random,0.3070702524979909,0.3927325055599213,90.73333333333333,88.6,20.97070598602295,118.99154043197632
9,"[{'num_layers': 4, 'units_per_layer': 26, 'activation': 'sigmoid', 'learning_rate': 0.06554212893046073, 'batch_size': 16, 'dropout_rate': 0.5882130194562183, 'l2_reg_strength': 4.807648190350992e-06}]",random,2.0260510177612305,1.9287864627838134,20.433333333333334,22.0,16.43714952468872,135.42868995666504
10,"[{'num_layers': 2, 'units_per_layer': 55, 'activation': 'sigmoid', 'learning_rate': 0.0016925210412891624, 'batch_size': 64, 'dropout_rate': 0.395017411777566, 'l2_reg_strength': 0.0003715937688984836}]",random,0.8620497953097026,0.7240815353393555,77.9,84.2,11.468602895736694,146.89729285240173
11,"[{'num_layers': 3, 'units_per_layer': 66, 'activation': 'sigmoid', 'learning_rate': 0.19474480895537946, 'batch_size': 16, 'dropout_rate': 0.4946220606515326, 'l2_reg_strength': 3.01204854442615e-05}]",random,1.1540938421885172,1.0531177473068238,54.6,60.4,16.11345410346985,163.01074695587158
12,"[{'num_layers': 1, 'units_per_layer': 11, 'activation': 'relu', 'learning_rate': 0.256516338029869, 'batch_size': 16, 'dropout_rate': 0.37936012820963777, 'l2_reg_strength': 0.0005787507067603753}]",random,2.0447889626820883,1.943439414024353,18.466666666666665,24.4,14.117252349853516,177.1279993057251
13,"[{'num_layers': 2, 'units_per_layer': 64, 'activation': 'sigmoid', 'learning_rate': 0.1214005820517964, 'batch_size': 64, 'dropout_rate': 0.23722155328811323, 'l2_reg_strength': 6.673237641484377e-07}]",random,0.615880269686381,0.5970937170982361,86.16666666666667,86.0,11.131598234176636,188.25959753990173
14,"[{'num_layers': 4, 'units_per_layer': 127, 'activation': 'tanh', 'learning_rate': 0.07038012715296124, 'batch_size': 256, 'dropout_rate': 0.30030039230215566, 'l2_reg_strength': 7.94072471022201e-07}]",random,0.3028165406783422,0.3527333791255951,91.03333333333333,90.0,9.968403816223145,198.22800135612488
15,"[{'num_layers': 3, 'units_per_layer': 10, 'activation': 'tanh', 'learning_rate': 0.0002750638298975292, 'batch_size': 64, 'dropout_rate': 0.5809226848633748, 'l2_reg_strength': 6.2990135294170015e-06}]",random,1.92720983060201,1.7497900218963622,23.633333333333333,40.4,11.223091840744019,209.4510931968689
16,"[{'num_layers': 1, 'units_per_layer': 12, 'activation': 'relu', 'learning_rate': 0.0003431696195964536, 'batch_size': 64, 'dropout_rate': 0.4805875174807623, 'l2_reg_strength': 0.00010213912503583563}]",random,1.6330807689030966,1.2421725368499756,36.4,67.2,10.953170537948608,220.4042637348175
17,"[{'num_layers': 2, 'units_per_layer': 87, 'activation': 'sigmoid', 'learning_rate': 0.004673604267245631, 'batch_size': 16, 'dropout_rate': 0.23513023200016553, 'l2_reg_strength': 2.103909031277504e-06}]",random,0.296478900094827,0.43523962986469267,91.6,87.0,17.081713914871216,237.48597764968872
