param_index,params,strategy,train_loss,val_loss,train_accuracy,val_accuracy,training_time,total_training_time
0,"[{'num_layers': 2, 'units_per_layer': 22, 'activation': 'relu', 'learning_rate': 0.006911420902640776, 'batch_size': 64, 'dropout_rate': 0.39824499064371865, 'l2_reg_strength': 0.000254874804092805}]",random,1.13138009929657,0.8057329049110412,58.53333333333333,81.2,9.712629795074463,9.712629795074463
1,"[{'num_layers': 3, 'units_per_layer': 121, 'activation': 'relu', 'learning_rate': 0.1964260803796301, 'batch_size': 128, 'dropout_rate': 0.32213089293015346, 'l2_reg_strength': 3.422844515459332e-06}]",random,0.4031941069761912,0.39932407999038694,87.56666666666666,88.4,8.415424823760986,18.12805461883545
2,"[{'num_layers': 2, 'units_per_layer': 95, 'activation': 'sigmoid', 'learning_rate': 0.0010648812365649204, 'batch_size': 32, 'dropout_rate': 0.209824130000842, 'l2_reg_strength': 0.000146543710545247}]",random,0.3197383368015289,0.38032761311531066,91.56666666666666,90.4,10.81106948852539,28.93912410736084
3,"[{'num_layers': 1, 'units_per_layer': 41, 'activation': 'relu', 'learning_rate': 0.26139791529806977, 'batch_size': 32, 'dropout_rate': 0.3472547762392784, 'l2_reg_strength': 2.0292866410212856e-07}]",random,0.5291370242436727,0.4397779140472412,83.43333333333334,87.2,10.262639999389648,39.20176410675049
4,"[{'num_layers': 4, 'units_per_layer': 65, 'activation': 'sigmoid', 'learning_rate': 0.005452202798303178, 'batch_size': 128, 'dropout_rate': 0.08430950529720754, 'l2_reg_strength': 8.486327659132282e-07}]",random,1.3861221265792847,1.346486391067505,57.4,60.4,8.813316822052002,48.01508092880249
5,"[{'num_layers': 3, 'units_per_layer': 123, 'activation': 'tanh', 'learning_rate': 0.01514558680253287, 'batch_size': 32, 'dropout_rate': 0.10834507792353479, 'l2_reg_strength': 0.00960197920344498}]",random,0.1751290951470534,0.37123372316360476,94.03333333333333,88.0,10.724290609359741,58.73937153816223
6,"[{'num_layers': 3, 'units_per_layer': 39, 'activation': 'sigmoid', 'learning_rate': 0.007213417781632216, 'batch_size': 32, 'dropout_rate': 0.07860748741637849, 'l2_reg_strength': 0.00038539665273565316}]",random,0.9841007062594096,1.0152148008346558,65.53333333333333,64.2,10.702293395996094,69.44166493415833
7,"[{'num_layers': 3, 'units_per_layer': 5, 'activation': 'tanh', 'learning_rate': 0.008868940508513057, 'batch_size': 128, 'dropout_rate': 0.12327942897732273, 'l2_reg_strength': 0.004452201073232962}]",random,1.8236040074030557,1.7916448183059692,28.133333333333333,34.4,9.162142276763916,78.60380721092224
8,"[{'num_layers': 1, 'units_per_layer': 17, 'activation': 'relu', 'learning_rate': 0.007316191179743262, 'batch_size': 32, 'dropout_rate': 0.43721807840490273, 'l2_reg_strength': 6.94674170444442e-07}]",random,1.060725081284841,0.6575005693435669,59.7,85.0,8.8649263381958,87.46873354911804
9,"[{'num_layers': 3, 'units_per_layer': 114, 'activation': 'sigmoid', 'learning_rate': 0.0002771611620478805, 'batch_size': 16, 'dropout_rate': 0.5875977975898576, 'l2_reg_strength': 2.125792931382367e-07}]",random,0.9666949578921,0.8494080772399902,64.4,70.8,13.375899076461792,100.84463262557983
