param_index,params,strategy,train_loss,val_loss,train_accuracy,val_accuracy,training_time,total_training_time
189,"[{'num_layers': 4, 'units_per_layer': 42, 'activation': 'sigmoid', 'learning_rate': 0.017245889183697974, 'batch_size': 16, 'dropout_rate': 0.23583023603641018, 'l2_reg_strength': 9.791163494636415e-06}]",random,1.2313733647664389,1.2308797035217285,48.53333333333333,51.4,14.496370315551758,2054.532214164734
190,"[{'num_layers': 1, 'units_per_layer': 62, 'activation': 'tanh', 'learning_rate': 0.15261198451018285, 'batch_size': 64, 'dropout_rate': 0.32382651346998564, 'l2_reg_strength': 2.0187566532972764e-07}]",random,0.2658612036705017,0.35518134832382203,92.86666666666666,88.6,10.016132831573486,2064.5483469963074
191,"[{'num_layers': 1, 'units_per_layer': 59, 'activation': 'sigmoid', 'learning_rate': 0.017513489457270694, 'batch_size': 32, 'dropout_rate': 0.29025073788797456, 'l2_reg_strength': 3.163251829366571e-06}]",random,0.35929741724332176,0.39916955280303956,90.83333333333333,90.8,10.43630313873291,2074.9846501350403
192,"[{'num_layers': 3, 'units_per_layer': 30, 'activation': 'relu', 'learning_rate': 0.047864291059443675, 'batch_size': 64, 'dropout_rate': 0.46301729473641773, 'l2_reg_strength': 9.431211086081346e-05}]",random,1.430427311897278,1.039099697113037,51.56666666666667,73.6,10.658641338348389,2085.6432914733887
193,"[{'num_layers': 1, 'units_per_layer': 53, 'activation': 'sigmoid', 'learning_rate': 0.0003350125888630425, 'batch_size': 128, 'dropout_rate': 0.44481046169417815, 'l2_reg_strength': 3.534323448211624e-06}]",random,0.7486254827181498,0.7211443505287171,82.63333333333334,83.6,10.023744583129883,2095.6670360565186
194,"[{'num_layers': 4, 'units_per_layer': 64, 'activation': 'tanh', 'learning_rate': 0.00035912441551947733, 'batch_size': 256, 'dropout_rate': 0.2820631053874805, 'l2_reg_strength': 0.0004732140622783444}]",random,0.5092463713486989,0.5076071248054504,87.03333333333333,84.4,8.422224760055542,2104.089260816574
195,"[{'num_layers': 2, 'units_per_layer': 63, 'activation': 'sigmoid', 'learning_rate': 0.00021821521299787502, 'batch_size': 256, 'dropout_rate': 0.28930318924026316, 'l2_reg_strength': 0.00016461329884393222}]",random,1.5069433053334553,1.4451493864059448,58.733333333333334,62.4,9.678715705871582,2113.7679765224457
196,"[{'num_layers': 4, 'units_per_layer': 108, 'activation': 'sigmoid', 'learning_rate': 0.00026648581940405276, 'batch_size': 32, 'dropout_rate': 0.15039352997775263, 'l2_reg_strength': 5.016342991976847e-05}]",random,0.6112794726689657,0.6794906787872315,80.66666666666667,79.4,12.6812584400177,2126.4492349624634
197,"[{'num_layers': 4, 'units_per_layer': 22, 'activation': 'tanh', 'learning_rate': 0.00040238889848550247, 'batch_size': 32, 'dropout_rate': 0.21065364511587875, 'l2_reg_strength': 1.178626186335316e-07}]",random,0.6753495942751566,0.6785745153427124,80.56666666666666,80.4,11.89134955406189,2138.3405845165253
198,"[{'num_layers': 4, 'units_per_layer': 115, 'activation': 'relu', 'learning_rate': 0.00892455317048499, 'batch_size': 64, 'dropout_rate': 0.13775347729402426, 'l2_reg_strength': 9.987893287318115e-05}]",random,0.2532993880112966,0.32238607382774354,92.43333333333334,90.8,10.699716567993164,2149.0403010845184
