iteration,params,strategy,train_loss,val_loss,train_accuracy,val_accuracy,training_time,total_training_time
544,"{'num_layers': 3, 'units_per_layer': 105, 'activation': 1, 'learning_rate': 0.008255007672796135, 'batch_size': 32, 'dropout_rate': 0.5370044446325355, 'l2_reg_strength': 0.00048343929821151457}",bayesian,0.8297728131612142,0.6634014739990234,72.33333333333333,82.6,13.390314102172852,6799.673388242722
545,"{'num_layers': 2, 'units_per_layer': 121, 'activation': 1, 'learning_rate': 0.0004340188703205768, 'batch_size': 128, 'dropout_rate': 0.08090217750388805, 'l2_reg_strength': 3.179941828920678e-05}",bayesian,0.25328070108095807,0.344715026140213,91.9,88.4,11.193175554275513,6810.866563796997
546,"{'num_layers': 2, 'units_per_layer': 97, 'activation': 2, 'learning_rate': 0.2030865464066394, 'batch_size': 32, 'dropout_rate': 0.3082104346413258, 'l2_reg_strength': 1.0819113352196999e-05}",bayesian,0.2503953722715378,0.38120515704154967,92.3,89.0,13.055542945861816,6823.922106742859
547,"{'num_layers': 4, 'units_per_layer': 110, 'activation': 1, 'learning_rate': 0.019714139541767085, 'batch_size': 128, 'dropout_rate': 0.5643439400590168, 'l2_reg_strength': 2.8274916734689287e-05}",bayesian,1.5004377574920655,1.3058223762512207,43.03333333333333,55.8,11.411785364151001,6835.33389210701
548,"{'num_layers': 2, 'units_per_layer': 104, 'activation': 2, 'learning_rate': 0.0005151100187656594, 'batch_size': 32, 'dropout_rate': 0.3697701449674612, 'l2_reg_strength': 0.0008893342803148059}",bayesian,0.29360065162181853,0.3301479814052582,91.0,88.8,13.00961446762085,6848.343506574631
549,"{'num_layers': 2, 'units_per_layer': 104, 'activation': 2, 'learning_rate': 0.07312594559739938, 'batch_size': 16, 'dropout_rate': 0.4033389010378461, 'l2_reg_strength': 9.17929383525774e-05}",bayesian,0.37224646400411926,0.36179118394851684,88.5,90.0,15.439795970916748,6863.7833025455475
550,"{'num_layers': 1, 'units_per_layer': 103, 'activation': 2, 'learning_rate': 0.16397680058243974, 'batch_size': 32, 'dropout_rate': 0.3186888821188016, 'l2_reg_strength': 1.2036689593138233e-05}",bayesian,0.21486266684532165,0.32542313504219056,93.63333333333334,89.8,12.166784524917603,6875.950087070465
551,"{'num_layers': 2, 'units_per_layer': 5, 'activation': 1, 'learning_rate': 0.0016350644302195435, 'batch_size': 16, 'dropout_rate': 0.5941395775240654, 'l2_reg_strength': 4.7980217584628095e-06}",bayesian,2.3003950125376385,2.2987495365142823,11.433333333333334,13.4,13.948318719863892,6889.898405790329
552,"{'num_layers': 3, 'units_per_layer': 104, 'activation': 1, 'learning_rate': 0.000421228021169836, 'batch_size': 128, 'dropout_rate': 0.13743935349077824, 'l2_reg_strength': 0.0009878129258190326}",bayesian,0.3065455143451691,0.3614736123085022,90.46666666666667,87.8,11.442866563796997,6901.341272354126
553,"{'num_layers': 1, 'units_per_layer': 114, 'activation': 1, 'learning_rate': 0.0008649765842410027, 'batch_size': 256, 'dropout_rate': 0.4850103334367111, 'l2_reg_strength': 5.166058593966528e-06}",bayesian,0.494265040397644,0.4454255392551422,85.33333333333333,87.8,10.74973177909851,6912.0910041332245
554,"{'num_layers': 2, 'units_per_layer': 97, 'activation': 2, 'learning_rate': 0.0024799727273682086, 'batch_size': 32, 'dropout_rate': 0.057513161498026, 'l2_reg_strength': 0.0003545192448925494}",bayesian,0.09741196203728517,0.2853916163444519,97.2,91.2,13.31835651397705,6925.4093606472015
555,"{'num_layers': 3, 'units_per_layer': 111, 'activation': 1, 'learning_rate': 0.15410988450333057, 'batch_size': 128, 'dropout_rate': 0.3569022112838028, 'l2_reg_strength': 0.00833973254422347}",bayesian,0.4433030366102854,0.3873860914707184,86.13333333333334,87.6,11.477256059646606,6936.886616706848
556,"{'num_layers': 1, 'units_per_layer': 114, 'activation': 1, 'learning_rate': 0.11919865907398726, 'batch_size': 256, 'dropout_rate': 0.27991377434142817, 'l2_reg_strength': 8.185598116235273e-05}",bayesian,0.3832504580815633,0.4092526264190674,89.1,89.6,10.670037031173706,6947.556653738022
557,"{'num_layers': 2, 'units_per_layer': 93, 'activation': 3, 'learning_rate': 0.0003199256027406758, 'batch_size': 32, 'dropout_rate': 0.5132554675373283, 'l2_reg_strength': 8.118087992307084e-07}",bayesian,0.6002651817798614,0.5048279459476471,83.5,86.8,12.717487812042236,6960.274141550064
558,"{'num_layers': 4, 'units_per_layer': 105, 'activation': 1, 'learning_rate': 0.1101687611976038, 'batch_size': 128, 'dropout_rate': 0.0792234377251429, 'l2_reg_strength': 1.124189978668413e-06}",bayesian,0.2848717455863953,0.347827486038208,91.46666666666667,89.0,10.524982452392578,6970.799124002457
559,"{'num_layers': 2, 'units_per_layer': 99, 'activation': 1, 'learning_rate': 0.22275534786007503, 'batch_size': 16, 'dropout_rate': 0.507923338879054, 'l2_reg_strength': 0.00017061793953403428}",bayesian,0.7317602406342825,0.46388334369659423,74.66666666666667,86.6,16.637585878372192,6987.436709880829
560,"{'num_layers': 1, 'units_per_layer': 96, 'activation': 2, 'learning_rate': 0.14040855035496888, 'batch_size': 32, 'dropout_rate': 0.24479070106918766, 'l2_reg_strength': 1.9200505943988007e-06}",bayesian,0.18129401417573293,0.33289793515205385,94.66666666666667,88.8,12.528088092803955,6999.964797973633
